string_id;type;Kerber Original;count house branch;distance house branch;cable type;cable width;string length;length house branch A;length house branch B;cable type A;cable type B;cable width A;cable width B;occurence per typified model grid
#-;(1=rural, 2=village, 3=suburb);-;m;mm^2;m;m;m;-;-;mm^2;mm^2;-
1;1;1;1;78;NAYY;150;78;18;33;NAYY;NAYY;50;50;
2;1;0;1;135;NAYY;150;135;18;33;NAYY;NAYY;50;50;
3;1;0;2;78;NAYY;150;156;18;33;NAYY;NAYY;50;50;
4;1;1;2;175;NAYY;150;350;18;33;NAYY;NAYY;50;50;
5;1;0;2;102;NAYY;150;204;18;33;NAYY;NAYY;50;50;
6;1;0;3;86;NAYY;150;258;18;33;NAYY;NAYY;50;50;
7;1;0;5;70;NAYY;150;350;18;33;NAYY;NAYY;50;50;
8;1;1;6;82;NAYY;150;492;18;33;NAYY;NAYY;50;50;
9;1;0;7;61;NAYY;150;427;18;33;NAYY;NAYY;50;50;
10;1;0;9;55;NAYY;150;495;18;33;NAYY;NAYY;50;50;
11;1;0;10;52;NAYY;150;520;18;33;NAYY;NAYY;50;50;
12;1;0;11;50;NAYY;150;550;18;33;NAYY;NAYY;50;50;
13;1;1;12;53;NAYY;150;636;18;33;NAYY;NAYY;50;50;
14;1;0;17;42;NAYY;150;714;18;33;NAYY;NAYY;50;50;
15;1;0;22;38;NAYY;150;836;18;33;NAYY;NAYY;50;50;
16;1;1;26;26;NAYY;150;676;18;33;NAYY;NAYY;50;50;
17;2;1;1;102;NAYY;150;102;15;31;NAYY;NAYY;50;50;0,105
18;2;0;2;80;NAYY;150;160;15;31;NAYY;NAYY;50;50;0,085
19;2;1;4;64;NAYY;150;256;15;31;NAYY;NAYY;50;50;0,11
20;2;0;6;47;NAYY;150;282;15;31;NAYY;NAYY;50;50;0,11
21;2;1;7;43;NAYY;150;301;15;31;NAYY;NAYY;50;50;0,03
22;2;1;9;40;NAYY;150;360;15;31;NAYY;NAYY;50;50;0,03
23;2;1;12;32;NAYY;150;384;15;31;NAYY;NAYY;50;50;0,03
24;2;0;14;31;NAYY;150;434;15;31;NAYY;NAYY;50;50;0,08
25;2;1;16;29;NAYY;150;464;15;31;NAYY;NAYY;50;50;0,08
26;2;0;19;27;NAYY;150;513;15;31;NAYY;NAYY;50;50;0,055
27;2;1;28;21;NAYY;150;588;15;31;NAYY;NAYY;50;50;0,08
28;2;0;33;20;NAYY;150;660;15;31;NAYY;NAYY;50;50;0,11
29;2;0;41;18;NAYY;150;738;15;31;NAYY;NAYY;50;50;0,07
30;3;1;1;85;NAYY;185;85;11;11;NAYY;NYY;50;35;0,005
31;3;1;1;68;NAYY;185;68;11;11;NAYY;NYY;50;35;0,005
32;3;0;3;51;NAYY;185;153;11;11;NAYY;NYY;50;35;0,08
33;3;1;4;60;NAYY;185;240;11;11;NAYY;NYY;50;35;0,062
34;3;0;5;38;NAYY;185;190;11;11;NAYY;NYY;50;35;0,08
35;3;1;5;50;NAYY;185;250;11;11;NAYY;NYY;50;35;0,062
36;3;1;10;25;NAYY;185;250;11;11;NAYY;NYY;50;35;0,062
37;3;1;11;26;NAYY;185;286;11;11;NAYY;NYY;50;35;0,062
38;3;1;14;21;NAYY;185;294;11;11;NAYY;NYY;50;35;0,062
39;3;1;15;23;NAYY;185;345;11;11;NAYY;NYY;50;35;0,056666667
40;3;1;19;17;NAYY;185;323;11;11;NAYY;NYY;50;35;0,056666667
41;3;1;20;20;NAYY;185;400;11;11;NAYY;NYY;50;35;0,076666667
42;3;1;32;11;NAYY;185;352;11;11;NAYY;NYY;50;35;0,056666667
43;3;1;32;14;NAYY;185;448;11;11;NAYY;NYY;50;35;0,076666667
44;3;0;55;10;NAYY;185;550;11;11;NAYY;NYY;50;35;0,11
45;3;1;61;10;NAYY;185;610;11;11;NAYY;NYY;50;35;0,01
46;3;1;69;6;NAYY;185;414;11;11;NAYY;NYY;50;35;0,076666667
